RINFID	行政区划编码	RINFORMATION	PNUMATT
21	120000	自2015年1月11日起，工作日(法定节假日除外)每日7时至9时和16时至19时，全号段外埠牌照机动车在外环线(不含)以内道路禁止通行。	2
22	620100	所有9座以下社会车辆和出租车执行尾号限行规定。限行时间工作日7点到20点，限行区域东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)。机动车按车牌尾号和对应的日期依次执行限行，即车牌尾号为l、6的机动车，每月1日、6日、11日、16日、21日、26日、31日限行；车牌尾号为2、7的机动车，每月2日、7日、12日、17日、22日、27日限行；车牌尾号为3、8的机动车，每月3日、8日、13日、18日、23日、28日限行；车牌尾号为4、9的机动车，每月4日、9日、14日、19日、24日、29日限行；车牌尾号为5、O的机动车，每月5日、10日、15日、20日、25日、30日限行。周六周天、国家法定节假日不限行；因法定节假日而导致双休日变更为工作日的，按对应的工作日限行。	1
23	620100	对非兰州市号牌核载不足9人的载客汽车执行高峰限行措施，即工作日7:30至9:00、11:00至12:30、17:00至19:30限行，法定节假日(含调休日)、双休日不限行。限行区域：东岗立交桥以西，南山路、工林路、兰工坪路、晏家坪北路以北，武威路、敦煌路、七里河黄河大桥以东，黄河以南(含区间内各跨河桥梁)范围内(含上述路段，南山路、工林路、兰工坪路、晏家坪北路、武威路除外)，以及北滨河路(雁滩大桥至七里河大桥)。	2
24	420100	长江大桥，江汉桥每日7时至22时，中型（含）以下载客汽车按车牌尾号分单双号通行，即车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行；车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行；出租车不受限制。	3
25	420100	2014年6月9日至2016年6月30日， 每日7：00至20：00，岱黄公路（三金潭立交－府河收费站）段中型（含）以下载客汽车按车牌尾号分单双日通行，车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行；车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行；出租车不受限制；车牌尾数为英文字母的，以字母前最后一位阿拉伯数字为准。	3
26	440300	经东门中路南北双向通行的社会车辆，每日15时至19时，按车牌号最后一位阿拉伯数字对应日期尾数，同为单数或同为双数的，准予进入通行。	3
27	440300	东门商业步行街区域（指东门路以西、立新路以南、新园路以东、深南辅路和永新街以北内侧人行道范围内）每日7时至24时，除执行任务的特种车辆外，禁止其他车辆在区域内通行。	3
28	440300	在工作日7:00-9:00,17:30-19:30，禁止非本市核发机动车号牌载客汽车在以下区域通行：（一）福田区、罗湖区、南山区、盐田区，除去进出深圳口岸路段。                   （二）龙岗区1、区域一：东起龙城大道（含龙城大道），西至黄阁路（含黄阁路），南起龙翔大道（含龙翔大道），北至龙平西路（含龙平西路）及其合围区域内道路。区域二：东起坂雪岗大道（含坂雪岗大道），西至五和大道（含五和大道），南起雅园路（含雅园路），北至雪岗北路（含雪岗北路）及其合围区域内道路。2、道路：坂雪岗大道。（三）宝安区1、区域：东起前进一路、二路（含前进一路、二路），西至新湖路（含新湖路），南起湖滨西路、中路（含湖滨西路、中路），北至西乡大道（不含西乡大道）及其合围区域内道路。2、道路：宝安大道。（四）龙华新区1、区域：东起梅观高速（不含梅观高速），西至福龙路（不含福龙路），南起南坪快速（不含南坪快速），北至机荷高速（不含机荷高速）及其合围区域内道路。2、道路：观澜大道，大和路，沿河路。（五）光明新区道路：光明大道。（六）坪山新区道路：中山大道。（七）大鹏新区道路：迎宾路。	2
29	310000	禁止悬挂外省市机动车号牌的小客车、使用临时行驶车号牌的小客车、未载客的出租小客车及实习期驾驶员驾驶的小客车通行。限行时间工作日07:00-10:00；15:00-20:00（周六日及法定假日除外），限行区域：（一）延安高架路（S20以东段）；（二）南北高架路（呼玛路至鲁班立交段）；（三）逸仙高架路（全线）；（四）沪闵高架路（全线）； （五）中环路（全线）；（六）华夏高架路（全线）；（七）罗山高架路（全线）；（八）度假区高架路（中环路至秀浦路段）；（九）内环高架路（除内圈中山北二路入口至锦绣路出口、外圈锦绣路入口至黄兴路出口以外的路段）；（十）南浦大桥；（十一）卢浦大桥；（十二）延安东路隧道。	2
30	310000	全天禁止“沪C”号牌机动车辆驶入以下道路及区域内。中环路(杨高南路立交桥至华夏高架路)、华夏高架路，外环隧道(黄浦江边起向西)——外环线环北大道——外环线环西二大道——外环线环西一大道——外环线环南一大道——杨高路立交——杨高南路——龙阳路立交——龙阳路——龙东大道——金桥路——金桥立交——杨高中路——杨高北路到长江边所构成的外环线道路范围内(含上述道路)	1
